,ISO,Country_x,Infection Rate %,Mortality Rate %,Total Cases,Total Deaths,GDP per Capita,Population Density,Continent,Country_y,Most Recent Gini Index,Proportion of Internet Users in the Population in 2017
24,BRA,Brazil,2.2476172767303844,2.991529918648203,4777522.0,142921.0,14103.452,25.04,South America,Brazil,53.9,0.6747128452
25,BRB,Barbados,0.06611662276290926,3.684210526315789,190.0,7.0,16978.068,664.4630000000001,North America,,,0.8176077839
26,BRN,Brunei,0.03337272534018464,2.054794520547945,146.0,3.0,71809.25099999999,81.347,Asia,,,0.9486669164
27,BTN,Bhutan,0.036417266709175077,0.0,281.0,0.0,8708.597,21.188000000000002,Asia,Bhutan,37.4,
28,BWA,Botswana,0.13488545154946047,0.5044136191677175,3172.0,16.0,15807.374,4.044,Africa,Botswana,53.3,0.4141379464
29,CAF,Central African Republic,0.09990136164003045,1.2849740932642488,4825.0,62.0,661.24,7.479,Africa,,,0.043392549450000005
30,CAN,Canada,0.41587713177071467,5.9193047954587446,156961.0,9291.0,44017.59099999999,4.037,North America,Canada,33.3,0.9270137191000001
31,CHE,Switzerland,0.6095127479918814,3.3762393129988055,52751.0,1781.0,57410.166,214.243,Europe,Switzerland,32.7,0.8968614766999999
32,CHL,Chile,2.4131353659085857,2.7585085627574246,461300.0,12725.0,22767.037,24.281999999999996,South America,Chile,44.4,0.8232748693
33,CHN,China,0.006289620281086248,5.234844468009898,90528.0,4739.0,15308.712,147.674,Asia,China,38.5,0.5429999999999999
34,CIV,Cote d'Ivoire,0.07456514878247346,0.6100971071228837,19669.0,120.0,3601.006,76.399,Africa,Cote d'Ivoire,41.5,0.43839920849999997
35,CMR,Cameroon,0.07849810426211783,2.005950667050581,20838.0,418.0,3364.926,50.885,Africa,,,0.2320297197
36,COD,Democratic Republic of Congo,0.011868951942736405,2.5493885230479774,10630.0,271.0,808.133,35.879,Africa,,,0.08619904916
37,COG,Republic of Congo,0.09222390637923399,1.7488701120062882,5089.0,89.0,4881.406,15.405,Africa,,,0.08650000000000001
38,COL,Colombia,1.6194876060877366,3.134306261088634,824042.0,25828.0,13254.948999999999,44.223,South America,Colombia,50.4,0.6225988032
39,COM,Comoros,0.05508311340336594,1.4613778705636742,479.0,7.0,1413.89,437.352,Africa,,,0.08478170295
40,CPV,Cape Verde,1.0611739821722772,1.0,5900.0,59.0,6222.554,135.58,Africa,Cabo Verde,42.4,0.5716214635
41,CRI,Costa Rica,1.4645137505756645,1.1795614176183582,74604.0,880.0,15524.995,96.079,North America,Costa Rica,48.0,0.7158166462
42,CUB,Cuba,0.048831884121435735,2.2057494124028203,5531.0,122.0,8821.82,110.40799999999999,North America,,,0.5714840432
43,CYM,Cayman Islands,0.3210590383444918,0.47393364928909953,211.0,1.0,49903.029,256.496,North America,,,0.8106769325000001
44,CYP,Cyprus,0.19899554629015445,1.262191623637407,1743.0,22.0,32415.132,127.65700000000001,Europe,Cyprus,31.4,0.8074318897
45,CZE,Czech Republic,0.6335149316713764,0.9374585439912739,67843.0,636.0,32605.906000000003,137.17600000000002,Europe,Czech Republic,24.9,0.7871917285000001
46,DEU,Germany,0.345196206743428,3.280559022747468,289219.0,9488.0,45229.245,237.016,Europe,Germany,31.9,0.8439415370000001
47,DJI,Djibouti,0.5481770279817247,1.1262924667651404,5416.0,61.0,2705.406,41.285,Africa,Djibouti,41.6,0.5568140925
48,DMA,Dominica,0.03333750052089845,0.0,24.0,0.0,9673.367,98.56700000000001,North America,,,0.6961966879000001
49,DNK,Denmark,0.47415465238355764,2.366734634430527,27464.0,650.0,46682.515,136.52,Europe,Denmark,28.7,0.9709936216
50,DOM,Dominican Republic,1.031535677306879,1.877569258266309,111900.0,2101.0,14600.861,222.873,North America,Dominican Republic,43.7,0.6757124533
51,DZA,Algeria,0.11714202556139885,3.3600685251518456,51368.0,1726.0,13913.839,17.348,Africa,,,0.47691055149999995
52,ECU,Ecuador,0.7694186836070387,8.333026394301248,135749.0,11312.0,10581.936000000002,66.939,South America,Ecuador,45.4,
53,EGY,Egypt,0.10072761161268513,5.737347083305038,103079.0,5914.0,10550.206,97.999,Africa,"Egypt, Arab Rep.",31.5,0.4495020425
54,ERI,Eritrea,0.010574022812255827,0.0,375.0,0.0,1510.4589999999998,44.303999999999995,Africa,,,0.013089069799999999
55,ESP,Spain,1.6451536092040038,4.133059798124776,769188.0,31791.0,34272.36,93.105,Europe,Spain,34.7,0.8460224570000001
56,EST,Estonia,0.24989841987306818,1.9306184012066365,3315.0,64.0,29481.252,31.033,Europe,Estonia,30.4,0.8810245687
57,ETH,Ethiopia,0.06487619649084876,1.5968572347956667,74584.0,1191.0,1729.9270000000001,104.95700000000001,Africa,Ethiopia,35.0,0.1861805145
58,FIN,Finland,0.17853281830982917,3.4674484431864134,9892.0,343.0,40585.721,18.136,Europe,Finland,27.4,0.8746892907
59,FJI,Fiji,0.0035696596775704895,6.25,32.0,2.0,8702.975,49.562,Oceania,,,0.4996637301
60,FRA,France,0.843665344680703,5.791461620875628,550690.0,31893.0,38605.671,122.57799999999999,Europe,France,31.6,0.8050245972000001
61,GAB,Gabon,0.393219656669638,0.617001828153565,8752.0,54.0,16562.413,7.859,Africa,Gabon,38.0,0.5032012015
62,GBR,United Kingdom,0.657213525191437,9.429885510897533,446156.0,42072.0,39753.244,272.89799999999997,Europe,United Kingdom,34.8,0.9042455049
63,GEO,Georgia,0.14704794851065697,0.5625639277190589,5866.0,33.0,9745.079,65.032,Asia,Georgia,36.4,0.5970550459999999
64,GHA,Ghana,0.14958994070243423,0.647562497310787,46482.0,301.0,4227.63,126.719,Africa,Ghana,43.5,0.3788415262
65,GIN,Guinea,0.08097288070960082,0.6206507429001317,10634.0,66.0,1998.9260000000002,51.755,Africa,,,0.1140002077
66,GMB,Gambia,0.1480967151412029,3.1293657446214027,3579.0,112.0,1561.767,207.56599999999997,Africa,"Gambia, The",35.9,0.1983645444
67,GNB,Guinea-Bissau,0.11808955090401516,1.6781411359724614,2324.0,39.0,1548.675,66.191,Africa,,,0.03930509152
68,GNQ,Equatorial Guinea,0.35852129566602636,1.650099403578529,5030.0,83.0,22604.873,45.193999999999996,Africa,,,0.2623999996
69,GRC,Greece,0.173874149769511,2.1409258952712023,18123.0,388.0,24574.382,83.479,Europe,Greece,34.4,0.6989297065
70,GRD,Grenada,0.02132973097876803,0.0,24.0,0.0,13593.877,317.132,North America,,,0.5907173536
71,GTM,Guatemala,0.5077595367202166,3.559493448245537,90968.0,3238.0,7423.808000000001,157.834,North America,,,0.4070304908
72,GUM,Guam,1.4474206525538709,1.9238641015145312,2443.0,47.0,35712.56,304.128,Oceania,,,0.8050546556
73,GUY,Guyana,0.36182918255337493,2.7406886858749124,2846.0,78.0,7435.047,3.952,South America,,,0.37325836789999994
74,HND,Honduras,0.7683090537252963,3.0526426450103816,76098.0,2323.0,4541.795,82.805,North America,Honduras,52.1,0.3213636364
75,HRV,Croatia,0.39899952938517047,1.678876678876679,16380.0,275.0,22669.797000000002,73.726,Europe,Croatia,30.4,0.6709619204
76,HTI,Haiti,0.07671102552389017,2.618040471018635,8747.0,229.0,1653.1729999999998,398.44800000000004,North America,,,0.1232610358
77,HUN,Hungary,0.2739134710440098,2.891047201541892,26461.0,765.0,26777.561,108.04299999999999,Europe,Hungary,30.6,0.7675054711999999
78,IDN,Indonesia,0.10336365062964707,3.749593242879982,282724.0,10601.0,11188.743999999999,145.725,Asia,Indonesia,37.8,0.3233580625
79,IND,India,0.45114081286053304,1.5660249193552662,6225763.0,97497.0,6426.674,450.41900000000004,Asia,,,0.32
80,IRL,Ireland,0.7238047096315846,5.0447677672076106,35740.0,1803.0,67335.293,69.874,Europe,Ireland,32.8,0.8411400706000001
81,IRN,Iran,0.5400893572583405,5.728368717719234,453637.0,25986.0,19082.62,49.831,Asia,"Iran, Islamic Rep.",40.8,0.6404397362
82,IRQ,Iraq,0.8907700249285829,2.5459823048368637,358290.0,9122.0,15663.986,88.125,Asia,,,0.4935999889
83,ISL,Iceland,0.7897435897435898,0.3710575139146568,2695.0,10.0,46482.958,3.404,Europe,Iceland,26.8,0.9825520119
84,ISR,Israel,2.7372754631975056,0.6449271080421735,236926.0,1528.0,33132.32,402.606,Asia,Israel,39.0,0.8158118359
85,ITA,Italy,0.5177001925909352,11.461258550019009,313011.0,35875.0,35220.084,205.859,Europe,Italy,35.9,0.63077347
86,JAM,Jamaica,0.21552357335518063,1.5669069257286117,6382.0,100.0,8193.571,266.879,North America,,,0.5507206705000001
87,JOR,Jordan,0.09848928859155122,0.5672206189670614,10049.0,57.0,8337.49,109.285,Asia,,,0.6679031443
88,JPN,Japan,0.06563276779936389,1.8841103481508252,83010.0,1564.0,39002.223,347.778,Asia,,,0.9172654724
89,KAZ,Kazakhstan,0.7493699507586713,1.4768277342278635,140707.0,2078.0,24055.588,6.681,Asia,Kazakhstan,27.5,0.7642674823
90,KEN,Kenya,0.0713726467464986,1.8422012611391942,38378.0,707.0,2993.028,87.324,Africa,Kenya,40.8,0.17827100210000002
91,KGZ,Kyrgyzstan,0.7153224054905811,2.2798860056997152,46669.0,1064.0,3393.474,32.333,Asia,Kyrgyz Republic,27.7,0.38199037760000004
92,KHM,Cambodia,0.001656800529171323,0.0,277.0,0.0,3645.07,90.67200000000001,Asia,,,0.3290027854
93,KNA,Saint Kitts and Nevis,0.03571965709129193,0.0,19.0,0.0,24654.385,212.865,North America,,,0.8071019081
94,KOR,South Korea,0.046445054527200096,1.7344196203594828,23812.0,413.0,35938.373999999996,527.967,Asia,,,0.9506942187999999
95,KWT,Kuwait,2.448576452331929,0.5804835131206488,104568.0,607.0,65530.537000000004,232.128,Asia,,,0.9799998933
96,LAO,Laos,0.00031612704238686364,0.0,23.0,0.0,6397.36,29.715,Asia,,,0.2551043508
97,LBN,Lebanon,0.56226395301579,0.9406675873570106,38377.0,361.0,13367.565,594.561,Asia,,,0.7818077488999999
