Data Source,World Development Indicators,,,
,,,,
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,709.5403101
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8308.334363
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,8988.92805
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,675.5422133
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7808.192916
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,870.7875893
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8681.196686
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1294.188934
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1959.917165
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1585.436468
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,17276.46545
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3317.541013
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9042.492983
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,4059.029996
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1122.12181
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,776.7685759
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3659.031312
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,9040.045782
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,16190.12696
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65118.35833
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1724.841134
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7463.537831
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2715.276036
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3058.065675
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,11428.56985
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4315.920675
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,4417.50994
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6001.400814
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1291.343357
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1463.98591
